Date,Price,Share,Fund Flow,Bench,Return,asset,withdraw
2008-12-02,71.3315,859.918,2286.4544817200003,-0.31379028379028373,4.197623631013689,51976.2363101369,-0.03730794797039971
2008-12-01,68.688,859.418,-5537.86050643029,-0.3392207792207792,4.0050030066249604,50050.0300662496,-0.11564302513508207
2008-11-28,75.3636,856.468,571.189937180141,-0.27500144300144297,3.597741623395655,45977.41623395655,-0.10436861630894623
2008-11-26,74.4267,859.268,3153.0072162522774,-0.28401443001443005,3.656356888738049,46563.56888738049,-0.0683684696747302
2008-11-25,71.6577,848.168,1222.386190386569,-0.3106522366522366,3.8435204180965012,48435.20418096501,-0.07522006854660879
2008-11-24,71.1307,836.968,3152.5370918517074,-0.3157219817219817,3.8078991902265464,48078.991902265465,-0.1351462064596074
2008-11-21,66.5214,847.268,3544.34136472478,-0.3600634920634921,3.4963452516668068,44963.45251666807,-0.17941117549012942
2008-11-20,63.1167,836.518,-4438.215608714432,-0.39281673881673884,3.2662131937373293,42662.13193737329,-0.11361112416097396
2008-11-19,68.1778,839.218,-5480.3698001074445,-0.3441289081289081,3.6083054069681224,46083.054069681224,-0.0529244197697879
2008-11-18,72.8456,860.368,432.25917713629315,-0.2992246272246272,3.9238135045988143,49238.13504598814,-0.07043435024539724
2008-11-17,71.4988,870.218,-312.39553793372033,-0.31218085618085617,3.8327799757653134,48327.799757653134,-0.05792725704853341
2008-11-14,72.4608,862.668,-2345.762113101002,-0.3029264069264069,3.8978039249321004,48978.039249321,-0.008441031648094066
2008-11-13,76.2671,850.068,3815.001469853989,-0.26630976430976433,4.155081115902514,51550.81115902514,-0.06662761751354518
2008-11-12,71.7916,849.618,-2424.5167940093525,-0.30936411736411734,3.852571048858905,48525.71048858905,-0.10596606771456496
2008-11-11,75.0959,844.218,-1322.2553235540108,-0.2775767195767196,3.648051793592407,46480.51793592407,-0.07748280587213552
2008-11-10,77.4884,834.918,-375.8423560915835,-0.2545608465608466,3.796135296369121,47961.352963691206,-0.06523351512618947
2008-11-07,78.5173,828.468,1874.1503964844233,-0.24466281866281864,3.8598189394232323,48598.18939423232,-0.09511087935597473
2008-11-06,76.0077,830.868,-2629.7917534703593,-0.2688051948051948,3.704487546082191,47044.87546082191,-0.04202784156996642
2008-11-05,80.4665,817.218,-2644.774459162727,-0.22591149591149598,3.980464441455571,49804.64441455571,0.0
2008-11-04,83.9967,814.068,2930.704135305423,-0.19195093795093793,4.198965750338479,51989.657503384784,0.0
2008-11-03,81.2361,805.368,-536.246426260499,-0.2185079365079366,4.028098741868092,50280.987418680925,0.0
2008-10-31,81.0019,814.026,1006.3932219817798,-0.2207609427609427,4.013602960739439,50136.02960739439,0.0
2008-10-30,80.5585,805.726,1439.1550663697053,-0.2250264550264551,3.9861587705069637,49861.587705069636,-0.029000977673137807
2008-10-29,77.8648,814.826,-368.68687835936,-0.25093987493987496,3.819432529575038,48194.32529575038,-0.02190661226281443
2008-10-28,78.4337,813.326,6987.778122355419,-0.24546705146705147,3.8546445273721837,48546.44527372184,-0.12424305153734116
2008-10-27,70.2273,808.576,-2100.18887082758,-0.32441269841269843,3.3467103759879304,43467.103759879305,-0.09200851972305901
2008-10-24,72.8122,808.426,-2449.421236421287,-0.2995459355459355,3.506702453867775,45067.02453867775,-0.04350021947764304
2008-10-23,76.7021,799.076,-1762.125646614717,-0.26212506012506015,3.7474673514440093,47474.673514440095,-0.054454149125082174
2008-10-22,75.8237,831.276,-4086.922991739426,-0.2705752765752766,3.693098887979405,46930.98887979405,0.0
2008-10-21,80.1904,836.676,-989.7016792582872,-0.2285675805675806,3.9633752648132927,49633.752648132926,0.0
2008-10-20,82.6582,823.376,3475.451410516558,-0.2048273208273209,3.819487175645397,48194.87175645397,-0.0059725581033652775
2008-10-17,77.9736,827.976,-1411.596499915926,-0.24989321789321786,3.546345858473859,45463.45858473859,0.0
2008-10-16,78.4421,840.726,3458.5477290892813,-0.24538624338624343,3.5736623224398034,45736.623224398034,0.0
2008-10-15,75.305,829.526,-7205.403743519011,-0.2755651755651755,3.3907498803745626,43907.49880374563,0.0
2008-10-14,83.5282,833.826,-1936.628270642148,-0.1964579124579125,2.9972298423555674,39972.29842355567,0.0
2008-10-13,84.783,844.026,9257.908820903212,-0.1843867243867244,2.9389330936452587,39389.330936452585,0.0
2008-10-10,74.0335,841.226,-4280.6533445540845,-0.2877970177970178,2.4395221116071175,34395.221116071174,0.0
2008-10-09,75.8739,876.926,-5392.498226926138,-0.27009235209235205,2.3580686790444902,33580.6867904449,0.0
2008-10-08,81.5707,881.476,-658.2504782745818,-0.21528908128908128,2.138854817632388,31388.54817632388,0.0
2008-10-07,83.6788,866.826,-2731.2529440998624,-0.19500913900913908,2.0617215975131056,30617.215975131057,0.0
2008-10-06,87.6021,858.876,-3336.7748561200133,-0.15726695526695536,1.9304787693635084,29304.787693635084,0.0
2008-10-03,92.3035,850.976,1007.375828624412,-0.11203944203944206,1.7884513781050708,27884.513781050708,-0.007215650496365189
2008-10-02,93.5666,828.426,-503.7109193735814,-0.09988840788840797,1.7513101350590157,27513.101350590157,-0.041968391768806734
2008-10-01,97.0885,803.276,548.2374368152086,-0.06600769600769607,1.654999622779327,26549.996227793272,-0.04138945086317447
2008-09-30,97.0299,797.826,3903.029531654989,-0.06657142857142861,1.6566040457157514,26566.040457157513,0.0
2008-09-29,93.1735,788.676,-4744.223017618933,-0.10367003367003365,1.7713069171916296,27713.069171916297,-0.01928276878416324
2008-09-26,101.0955,773.526,-262.0034437420836,-0.027460317460317477,1.5699237135959494,25699.237135959494,-0.01879529954053616
2008-09-25,101.0453,776.226,4862.645656970781,-0.027943241943241996,1.5712011039883798,25712.011039883797,-0.0032055612807723177
2008-09-24,99.4893,739.226,2951.8863024977036,-0.042911976911976936,1.6120532851954452,26120.532851954453,0.0
2008-09-23,99.1714,711.576,2442.6725400989963,-0.045970177970177946,1.6204533088603998,26204.533088604,0.0
2008-09-22,101.4803,671.076,-1238.8452402200055,-0.023758537758537788,1.562158566779068,25621.58566779068,0.0
2008-09-19,103.831,667.576,5735.702350824999,-0.0011447811447811425,1.5054363053825415,25054.363053825415,0.0
2008-09-18,99.865,636.426,-2973.714590309719,-0.03929773929773937,1.4097369440439511,24097.36944043951,-0.0191073973312208
2008-09-17,96.9872,685.726,-2221.407751017279,-0.06698220298220299,1.3402957887085514,23402.957887085515,-0.06131403778506894
2008-09-16,101.5534,676.526,2116.0475785279705,-0.023055315055315117,1.239595648202924,22395.95648202924,-0.07676694425231578
2008-09-15,99.8816,666.426,-387.000736639995,-0.03913804713804711,1.2027268087089669,22027.26808708967,-0.030639306715439685
