Date,Bench,Return
2/22/2001,-0.113978836,0.549468271
2/23/2001,-0.119965368,0.538999061
2/26/2001,-0.101232323,0.571759293
2/27/2001,-0.109542088,0.586291357
2/28/2001,-0.127078403,0.617531133
3/1/2001,-0.122500241,0.609047759
3/2/2001,-0.129472823,0.621833197
3/5/2001,-0.121515152,0.607007679
3/6/2001,-0.112077922,0.624271152
3/7/2001,-0.105739298,0.635866364
3/8/2001,-0.104753247,0.637670142
3/9/2001,-0.131233285,0.686109936
3/12/2001,-0.16841847,0.613940608
3/13/2001,-0.154755171,0.640458458
3/14/2001,-0.171445887,0.608064971
3/15/2001,-0.171235209,0.608473857
3/16/2001,-0.187861472,0.640742251
3/19/2001,-0.171337181,0.607358659
3/20/2001,-0.193580568,0.650504192
3/21/2001,-0.207280423,0.678543781
3/22/2001,-0.215330447,0.695589301
3/23/2001,-0.191603656,0.746860431
3/26/2001,-0.181293891,0.724582102
3/27/2001,-0.164557961,0.68932832
3/28/2001,-0.18764887,0.736019922
3/29/2001,-0.184542569,0.729381659
3/30/2001,-0.175998076,0.711260923
4/2/2001,-0.193580568,0.747775681
4/3/2001,-0.220484848,0.689465271
4/4/2001,-0.217237133,0.682426405
4/5/2001,-0.187578644,0.618680119
4/6/2001,-0.199936508,0.59405813
4/9/2001,-0.191038961,0.611785732
4/10/2001,-0.176279942,0.641191815
4/11/2001,-0.175715248,0.642316921
4/12/2001,-0.160745551,0.672142763
4/13/2001,-0.16515873,0.680935646
4/16/2001,-0.16957191,0.6720498
4/17/2001,-0.157849928,0.648447832
4/18/2001,-0.124379028,0.713964696
4/19/2001,-0.112727273,0.691157227
4/20/2001,-0.120847523,0.706634565
4/23/2001,-0.136807119,0.737615764
4/24/2001,-0.141467051,0.728235274
4/25/2001,-0.130239538,0.750836369
4/26/2001,-0.12635594,0.743018648
4/27/2001,-0.111809524,0.772040393
4/30/2001,-0.117952862,0.759783739
5/1/2001,-0.102840789,0.729633445
5/2/2001,-0.104465608,0.732765935
5/3/2001,-0.115834536,0.710768243
5/4/2001,-0.100793651,0.681665694
5/7/2001,-0.108560847,0.696191644
5/8/2001,-0.108985089,0.695384414
5/9/2001,-0.112727273,0.68826395
5/10/2001,-0.110114478,0.693235462
5/11/2001,-0.116257816,0.681546185
5/14/2001,-0.114492544,0.684905068
5/15/2001,-0.110397306,0.692697309
5/16/2001,-0.089424723,0.65279159
5/17/2001,-0.088012506,0.650228264
5/18/2001,-0.08384608,0.642689176
5/21/2001,-0.070358826,0.618506159
5/22/2001,-0.071558442,0.620594691
5/23/2001,-0.087306397,0.648082747
5/24/2001,-0.084622415,0.652929308
5/25/2001,-0.095426647,0.633419727
5/29/2001,-0.102629149,0.620413919
5/30/2001,-0.115198653,0.597716725
5/31/2001,-0.110608947,0.606004519
6/1/2001,-0.105100529,0.615951261
6/4/2001,-0.100793651,0.623728341
6/5/2001,-0.090483886,0.642345043
6/6/2001,-0.098039442,0.628701712
6/7/2001,-0.094790765,0.634567963
6/8/2001,-0.103193843,0.61939423
6/11/2001,-0.109549784,0.630871374
6/12/2001,-0.111103415,0.633716871
6/13/2001,-0.118729197,0.647732413
6/14/2001,-0.138501203,0.68470059
6/15/2001,-0.137110149,0.681980321
6/18/2001,-0.141288119,0.67383645
6/19/2001,-0.137535354,0.681151495
6/20/2001,-0.133003367,0.689985429
6/21/2001,-0.123160173,0.709172187
6/22/2001,-0.13002886,0.69578346
6/25/2001,-0.138030784,0.680185782
6/26/2001,-0.139235209,0.677838067
6/27/2001,-0.13973064,0.676872353
6/28/2001,-0.134986051,0.667624006
6/29/2001,-0.131798942,0.661479712
7/2/2001,-0.120964887,0.64074654
7/3/2001,-0.121176527,0.641141573
7/5/2001,-0.138314574,0.609137465
7/6/2001,-0.156938913,0.57435781
7/9/2001,-0.152335738,0.582953918
7/10/2001,-0.162532949,0.563911339
7/11/2001,-0.161683502,0.565497622
7/12/2001,-0.141784512,0.602657598
7/13/2001,-0.134348244,0.588770887
7/16/2001,-0.145183261,0.608656897
7/17/2001,-0.137181337,0.593598289
7/18/2001,-0.143059163,0.604454444
7/19/2001,-0.13555267,0.5904
7/20/2001,-0.140722463,0.599911325
7/23/2001,-0.157646946,0.568399187
7/24/2001,-0.165791246,0.553235102
7/25/2001,-0.156584897,0.570376644
7/26/2001,-0.147732564,0.586859034
7/27/2001,-0.144475228,0.580794116
7/30/2001,-0.1441924,0.580271521
7/31/2001,-0.140651275,0.586810304
8/1/2001,-0.135268879,0.576871567
8/2/2001,-0.131728716,0.570415938
8/3/2001,-0.136473304,0.578997332
8/6/2001,-0.14808658,0.557761936
8/7/2001,-0.144758057,0.551675582
8/8/2001,-0.160621453,0.522894435
8/9/2001,-0.158142376,0.527392253
8/10/2001,-0.155239057,0.532659779
8/13/2001,-0.155026455,0.532274052
8/14/2001,-0.155380471,0.531632079
8/15/2001,-0.162675325,0.544860558
8/16/2001,-0.159771044,0.550218944
8/17/2001,-0.173226551,0.575044299
8/20/2001,-0.165578644,0.589613942
8/21/2001,-0.17981241,0.562497913
8/22/2001,-0.171314093,0.578687626
8/23/2001,-0.1742886,0.573021043
8/24/2001,-0.157151515,0.605668038
8/27/2001,-0.162178932,0.59609056
8/28/2001,-0.174430014,0.572751643
8/29/2001,-0.181795094,0.558720802
8/30/2001,-0.197516114,0.528771482
8/31/2001,-0.191638288,0.539969031
9/4/2001,-0.196808081,0.53012032
9/5/2001,-0.194825397,0.533897431
9/6/2001,-0.215573834,0.494370633
9/7/2001,-0.23009139,0.46671397
9/10/2001,-0.220673401,0.484655705
9/17/2001,-0.261392015,0.56222668
9/18/2001,-0.263162097,0.558482787
9/19/2001,-0.27803367,0.527027985
9/20/2001,-0.300978355,0.478497777
9/21/2001,-0.308519481,0.462547574
9/24/2001,-0.284209716,0.513965055
9/25/2001,-0.276746513,0.529750446
9/26/2001,-0.279305435,0.52433808
9/27/2001,-0.273050505,0.511108303
9/28/2001,-0.257625782,0.479044964
10/1/2001,-0.258834055,0.476637701
10/2/2001,-0.249521886,0.495190496
10/3/2001,-0.236940837,0.520255936
10/4/2001,-0.236301106,0.521530483
10/5/2001,-0.237794132,0.518555902
10/8/2001,-0.242769601,0.50864319
10/9/2001,-0.246820587,0.50057234
10/10/2001,-0.230046176,0.533992288
10/11/2001,-0.218103896,0.557785099
10/12/2001,-0.22165849,0.564866977
10/15/2001,-0.223080327,0.567725602
10/16/2001,-0.218175084,0.557827442
10/17/2001,-0.234808081,0.590969566
10/18/2001,-0.236443482,0.594369856
10/19/2001,-0.236940837,0.595408374
10/22/2001,-0.221871092,0.563900467
10/23/2001,-0.225851852,0.571901085
10/24/2001,-0.22791342,0.576087081
10/25/2001,-0.21405291,0.60438102
